Condors that may appear in photos	Sex	Hatch date	Rearing method	Hatch Location	For captive hatched birds, date first released to wild	Death date	Age at death	Cause of death	Father	Mother	How often Pb poisoned?	Breeder since	Chicks produced for condor program	Mate1999	Mate2000	Mate2001	Mate2002	Mate2003	Mate2004	Mate2005	Mate2006	Mate2007	Mate2008	Mate2009	Mate2010	Mate2011	Mate2012	In Condor Tag table
167	Male	5/6/1997	Biological parents	Captive at LA zoo	12/12/1997	#ERROR!			27	31	Occasionally	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	190	#ERROR!
168	Male	5/9/1997	Foster parents	Captive at LA zoo	1/19/1999	#ERROR!			20	29	Rarely	2007	3	0	0	0	0	0	0	0	0	208	0	208	0	208	0	#ERROR!
171	Female	5/26/1997	Biological parents	Captive at LA zoo	12/12/1997	#ERROR!			46	11	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
180	Female	4/1/1998	Zookeepers	Captive at San Diego Wild Animal Park	1/19/1999	#ERROR!			44	45	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
190	Female	5/11/1998	Biological parents	Captive at LA zoo	1/19/1999	#ERROR!			5	36	Rarely	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	167	#ERROR!
192	Female	5/27/1998	Biological parents	Captive at LA zoo	1/19/1999	#ERROR!			21	40	Often	2004	3	0	0	0	0	0	21	0	0	21	0	21	0	0	0	#ERROR!
194	Male	6/29/1998	Biological parents	Captive at LA zoo	1/19/1999	#ERROR!	#ERROR!	unknown causes; no carcass recovered	46	11	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
199	Male	4/8/1999	Zookeepers	Captive at San Diego Wild Animal Park	3/4/2000	#ERROR!			20	29	Occasionally	2008	1	0	0	0	0	0	0	0	0	0	231	0	0	0	0	#ERROR!
204	Male	4/28/1999	Biological parents	Captive at San Diego Wild Animal Park	3/4/2000	#ERROR!			6	35	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
206	Male	5/4/1999	Zookeepers	Captive at LA zoo	5/22/2001	#ERROR!			46	11	Rarely	2007	4	0	0	0	0	0	0	0	0	255	0	255	255	0	370	#ERROR!
208	Female	5/14/1999	Biological parents	Captive at LA zoo	3/4/2000	#ERROR!			1	43	Occasionally	2007	3	0	0	0	0	0	0	0	0	168	0	168	0	168	0	#ERROR!
209	Male	5/15/1999	Foster parents	Captive at San Diego Wild Animal Park	3/4/2000	#ERROR!			20	29	Rarely	2009	2	0	0	0	0	0	0	0	0	0	0	236	0	0	236	#ERROR!
213	Male	2/29/2000	Zookeepers	Captive at San Diego Wild Animal Park	5/22/2001	#ERROR!	11.2	unknown causes	25	37	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
214	Female	3/22/2000	Zookeepers	Captive at San Diego Wild Animal Park	5/22/2001	#ERROR!	10.8	lead poisoning	23	32	Occasionally	2006	2	0	0	0	0	0	0	0	237	0	237	0	0	0	0	#ERROR!
216	Female	4/3/2000	Zookeepers	Captive at San Diego Wild Animal Park	5/22/2001	#ERROR!			72	52	Rarely	2011	2	0	0	0	0	0	0	0	0	0	0	0	0	328	328	#ERROR!
219	Male	4/8/2000	Biological parents	Captive at San Diego Wild Animal Park	4/5/2001	#ERROR!			44	45	Occasionally	2010	2	0	0	0	0	0	0	0	0	0	0	0	310	317	0	#ERROR!
222	Female	4/17/2000	Biological parents	Captive at San Diego Wild Animal Park	4/5/2001	#ERROR!			25	37	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
231	Female	4/30/2000	Biological parents	Captive at LA zoo	4/5/2001	#ERROR!			21	40	Rarely	2008	1	0	0	0	0	0	0	0	0	0	199	0	0	0	0	#ERROR!
236	Female	3/22/2001	Zookeepers	Captive at San Diego Wild Animal Park	12/12/2002	#ERROR!			23	32	Rarely	2009	2	0	0	0	0	0	0	0	0	0	0	209	0	0	209	#ERROR!
237	Male	3/22/2001	Zookeepers	Captive at San Diego Wild Animal Park	7/3/2002	#ERROR!			44	45	Occasionally	2006	3	0	0	0	0	0	0	0	214	0	214	0	0	255	0	#ERROR!
238	Male	3/28/2001	Zookeepers	Captive at San Diego Wild Animal Park	4/3/2002	#ERROR!	7.1	lead poisoning	25	37	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
239	Male	4/11/2001	Zookeepers	Captive at San Diego Wild Animal Park	4/3/2002	#ERROR!			7	31	Rarely	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	289	#ERROR!
242	Male	4/20/2001	Biological parents	Captive at San Diego Wild Animal Park	12/12/2002	#ERROR!			44	45	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
247	Male	4/30/2001	Zookeepers	Captive at San Diego Wild Animal Park	7/3/2002	#ERROR!			20	29	Rarely	2010	1	0	0	0	0	0	0	0	0	0	0	0	79	0	0	#ERROR!
251	Male	5/10/2001	Foster parents	Captive at LA zoo	12/12/2002	#ERROR!			21	40	Rarely	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	306	#ERROR!
255	Female	5/13/2001	Zookeepers	Captive at San Diego Wild Animal Park	5/1/2002	#ERROR!			28	54	Rarely	2007	4	0	0	0	0	0	0	0	0	206	0	206	206	237	0	#ERROR!
262	Male	6/17/2001	Foster parents	Captive at LA zoo	5/1/2002	#ERROR!			100	111	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
278	Male	4/24/2002	Biological parents	Captive at San Diego Wild Animal Park	12/20/2003	#ERROR!	6.2	wildfire	7	31	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
286	Male	5/16/2002	Foster parents	Captive at San Diego Wild Animal Park	1/5/2004	#ERROR!	7.0	lead poisoning	23	32	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
289	Female	6/11/2002	Foster parents	Captive at LA zoo	6/18/2003	#ERROR!			5	36	Occasionally	2008	3	0	0	0	0	0	0	0	0	0	98	98	0	0	239	#ERROR!
294	Female	4/7/2003	Zookeepers	Captive at San Diego Wild Animal Park	10/14/2004	#ERROR!	8.2	unknown causes	44	32	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
298	Female	4/11/2003	Zookeepers	Captive at San Diego Wild Animal Park	9/25/2004	#ERROR!	9.5	lead poisoning	7	31	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
301	Male	4/20/2003	Foster parents	Captive at San Diego Wild Animal Park	10/7/2004	#ERROR!	4.1	power line collision & electrocution	28	54	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
303	Female	4/22/2003	Zookeepers	Captive at San Diego Wild Animal Park	10/7/2004	#ERROR!	6.5	lead poisoning	25	45	Occasionally	2009	1	0	0	0	0	0	0	0	0	0	0	313	0	0	0	#ERROR!
306	Female	5/4/2003	Foster parents	Captive at San Diego Wild Animal Park	10/28/2004	#ERROR!	#ERROR!	power line collision & electrocution, toxic liver lead levels	44	32	Rarely	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	251	#ERROR!
307	Female	5/5/2003	Foster parents	Captive at LA zoo	10/28/2004	#ERROR!	4.0	Rattlesnake bite	1	43	Chronically	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
310	Female	5/11/2003	Biological parents	Captive at LA zoo	10/29/2004	#ERROR!			120	95	Occasionally	2010	1	0	0	0	0	0	0	0	0	0	0	0	219	0	0	#ERROR!
311	Female	5/12/2003	Zookeepers	Captive at San Diego Wild Animal Park	9/25/2004	#ERROR!			7	31	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
312	Female	5/14/2003	Foster parents	Captive at LA zoo	10/29/2004	#ERROR!	#ERROR!	lead poisoning	33	79	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
313	Male	5/15/2003	Foster parents	Captive at LA zoo	10/29/2004	#ERROR!	#ERROR!	lead poisoning	42	39	Rarely	2009	2	0	0	0	0	0	0	0	0	0	0	303	0	375	0	#ERROR!
317	Female	5/26/2003	Foster parents	Captive at San Diego Wild Animal Park	11/28/2004	#ERROR!		Transferred to permanent captivity in 2011	25	45	Occasionally	2011	1	0	0	0	0	0	0	0	0	0	0	0	0	219	0	#ERROR!
318	Male	6/9/2003	Foster parents	Captive at San Diego Wild Animal Park	9/25/2004	#ERROR!	9.5	lead poisoning	44	32	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
326	Male	4/9/2004	Biological parents	Wild in California		#ERROR!			107	161	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
328	Male	4/11/2004	Biological parents	Wild in California		#ERROR!			21	192	Rarely	2011	2	0	0	0	0	0	0	0	0	0	0	0	0	216	216	#ERROR!
330	Male	4/19/2004	Biological parents	Captive at San Diego Wild Animal Park	9/17/2005	#ERROR!			25	45	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
332	Male	4/21/2004	Foster parents	Captive at LA zoo	9/17/2005	#ERROR!	#ERROR!	lead poisoning	42	39	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
335	Male	4/23/2004	Foster parents	Captive at San Diego Wild Animal Park	9/17/2005	#ERROR!	#ERROR!	lead poisoning	44	32	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
336	Female	4/28/2004	Foster parents	Captive at San Diego Wild Animal Park	9/17/2005	#ERROR!	4.4	lead poisoning	20	157	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
340	Male	5/9/2004	Foster parents	Captive at Portland zoo	9/17/2005	#ERROR!			46	11	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
345	Male	5/16/2004	Foster parents	Captive at San Diego Wild Animal Park	9/17/2005	#ERROR!	#ERROR!	lead poisoning	135	52	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
351	Male	5/28/2004	Foster parents	Captive at LA zoo	9/17/2005	#ERROR!			1	43	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
356	Female	3/25/2005	Biological parents	Captive at LA zoo	6/4/2006	#ERROR!	2.5	unknown causes	33	68	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
358	Male	3/30/2005	Zookeepers	Captive at Birds of Prey	9/26/2006	#ERROR!	4.3	strangulation after entanglement in a climber's rope	50	88	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
360	Male	4/3/2005	Zookeepers	Captive at Birds of Prey	11/21/2006	#ERROR!			55	84	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
364	Female	4/14/2005	Zookeepers	Captive at Birds of Prey	10/8/2006	#ERROR!	6.0	suspected raptor predation, such as golden eagle	53	34	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
365	Male	4/15/2005	Zookeepers	Captive at Birds of Prey	9/26/2006	#ERROR!			104	76	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
369	Male	4/21/2005	Foster parents	Captive at Birds of Prey	11/1/2006	#ERROR!			92	94	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
370	Female	4/22/2005	Foster parents	Wild in California		#ERROR!			7	31	Rarely	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	206	#ERROR!
374	Male	4/29/2005	Foster parents	Captive at LA zoo	10/3/2007	#ERROR!			33	68	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
375	Female	5/2/2005	Biological parents	Captive at San Diego Wild Animal Park	6/4/2006	#ERROR!			44	32	Often	2011	1	0	0	0	0	0	0	0	0	0	0	0	0	313	0	#ERROR!
377	Female	5/4/2005	Biological parents	Captive at LA zoo	6/3/2006	#ERROR!	3.1	wildfire	120	95	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
397	Male	4/7/2006	Biological parents	Captive at LA zoo	10/19/2007	#ERROR!	4.7	predation, likely a mountain lion	1	43	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
400	Female	4/11/2006	Biological parents	Captive at Birds of Prey	4/24/2007	#ERROR!	#ERROR!	lead poisoning	50	88	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
401	Male	4/13/2006	Biological parents	Captive at Birds of Prey	4/24/2007	#ERROR!	#ERROR!	lead poisoning	71	56	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
402	Female	4/14/2006	Foster parents	Captive at Birds of Prey	11/7/2007	#ERROR!	1.7	predation, likely a mountain lion	99	57	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
405	Male	4/18/2006	Foster parents	Captive at Birds of Prey	8/21/2007	#ERROR!			27	139	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
408	Female	4/22/2006	Foster parents	Captive at LA zoo	7/7/2007	#ERROR!	4.7	unknown causes	33	68	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
411	Male	4/26/2006	Biological parents	Captive at Birds of Prey	8/22/2007	#ERROR!			90	224	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
412	Male	5/1/2006	Foster parents	Wild in California		#ERROR!	5.7	euthanized after being entangled in a wire	42	39	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
417	Female	5/9/2006	Biological parents	Captive at San Diego Wild Animal Park	5/3/2007	#ERROR!	1.0	predation	125	111	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
418	Female	5/10/2006	Zookeepers	Captive at LA zoo	12/6/2008	#ERROR!			1	43	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
421	Male	5/13/2006	Zookeepers	Captive at LA zoo	1/13/2009	#ERROR!			5	121	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
422	Female	5/14/2006	Zookeepers	Captive at LA zoo	1/4/2009	#ERROR!	3.2	suspected lead poisoning	189	40	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
428	Female	3/26/2007	Biological parents	Wild in California		#ERROR!	#ERROR!	lead poisoning; died during surgery at LA Zoo to remove lead shot	21	192	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
431	Male	4/12/2007	Foster parents	Captive at LA zoo	11/30/2008	#ERROR!			168	208	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
438	Female	4/21/2007	Foster parents	Captive at Birds of Prey	12/6/2008	#ERROR!			104	76	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
444	Female	5/5/2007	Foster parents	Wild in California		8/26/2014	7.3	lead poisoning	33	68	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
448	Male	5/8/2007	Foster parents	Captive at Birds of Prey	11/6/2008	#ERROR!			47	51	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
449	Female	5/12/2007	Biological parents	Wild in California		#ERROR!			206	255	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
450	Female	5/15/2007	Foster parents	Wild in California		#ERROR!	1.6	West Nile Virus	135	52	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
451	Male	5/15/2007	Foster parents	Captive at Birds of Prey	11/6/2008	#ERROR!	#ERROR!	lead poisoning	67	30	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
452	Male	5/21/2007	Foster parents	Captive at Birds of Prey	10/28/2008	#ERROR!			85	77	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
457	Male	6/2/2007	Foster parents	Captive at LA zoo	10/7/2008	#ERROR!			42	39	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
458	Female	6/3/2007	Biological parents	Captive at Birds of Prey	9/23/2008	#ERROR!	2.8	lead poisoning	99	88	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
460	Female	3/24/2008	Foster parents	Captive at Birds of Prey	11/29/2009	#ERROR!			55	84	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
462	Male	3/28/2008	Foster parents	Wild in California		#ERROR!			33	68	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
463	Male	4/2/2008	Foster parents	Captive at Birds of Prey	11/24/2009	#ERROR!			60	166	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
467	Male	4/5/2008	Zookeepers	Captive at San Diego Wild Animal Park	12/2/2009	#ERROR!			25	45	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
470	Male	4/12/2008	Foster parents	Wild in California		#ERROR!			1	43	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
474	Female	4/21/2008	Foster parents	Wild in California		#ERROR!	0.9	trauma, possibly from an aggressive adult female	99	88	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
