Condors that may appear in photos	Sex	Hatch date	Rearing method	Hatch Location	For captive hatched birds, date first released to wild	Death date	Age at death	Cause of death	Father	Mother	How often Pb poisoned?	Breeder since	Chicks produced for condor program	Mate1999	Mate2000	Mate2001	Mate2002	Mate2003	Mate2004	Mate2005	Mate2006	Mate2007	Mate2008	Mate2009	Mate2010	Mate2011	Mate2012	In Condor Tag table
532	Female	5/15/2009	Biological parents	Captive at Birds of Prey	11/17/2010	#ERROR!	1.6	predation, likely a mountain lion	27	139	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
533	Unknown	5/15/2009	Biological parents	Wild in California		#ERROR!	0.1	predation, likely a black bear	98	289	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
534	Female	5/18/2009	Foster parents	Captive at Portland zoo	10/12/2010	#ERROR!			137	147	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
536	Female	5/23/2009	Foster parents	Captive at Birds of Prey	10/14/2010	#ERROR!	#ERROR!	drowned in dip tank	53	34	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
538	Female	5/23/2009	Biological parents	Wild in California		#ERROR!			209	236	Often	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
539	Male	5/24/2009	Biological parents	Wild in California		#ERROR!	0.3	trash ingestion	206	255	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
542	Male	5/29/2009	Foster parents	Captive at Birds of Prey	11/3/2010	#ERROR!			71	56	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
543	Female	5/29/2009	Biological parents	Captive at Birds of Prey	10/12/2010	#ERROR!			92	94	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
546	Female	6/1/2009	Biological parents	Wild in California		#ERROR!	0.1	unknown causes	125	111	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
547	Female	6/5/2009	Foster parents	Captive at Birds of Prey	11/16/2010	#ERROR!			42	39	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
550	Female	3/24/2010	Biological parents	Wild in California		#ERROR!			221	264	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
556	Male	4/7/2010	Biological parents	Wild in California		#ERROR!	0.1	unknown causes	247	79	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
559	Male	4/12/2010	Foster parents	Captive at LA zoo	1/6/2012	#ERROR!			138	84	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
560	Female	4/12/2010	Biological parents	Wild in California		#ERROR!			125	111	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
563	Female	4/15/2010	Biological parents	Captive at Portland zoo	10/18/2011	#ERROR!			348	155	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
564	Male	4/17/2010	Foster parents	Captive at Birds of Prey	10/18/2011	#ERROR!			104	76	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
566	Male	4/22/2010	Foster parents	Captive at LA zoo	11/29/2011	#ERROR!			145	174	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
567	Male	4/25/2010	Biological parents	Wild in California		#ERROR!			53	34	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#ERROR!
