					Tag Details							
Studbook	Year	Vinyl Tag ID	Tag Color	Shapes/Patterns on tag	L-tag color	R- tag color	L-wing transmitter	R-wing transmitter	Data source	Other Notes	Bio data compiled?	
377	all	77	Blue	NA	NA	NA	NA	NA	VWS		Yes	
397	2008	97	Black	3 dots	Black	No tag	VHF	None	Socal		Yes	
397	2009	97	Blue	None	Blue	No tag	None	None	Socal		Yes	
397	2010	97	Blue	None	Blue	No tag	None	None	Socal		Yes	
400	any	0	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
400	any	00	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
401	any	01	Black	underline			NA	NA	PNP		Yes	
401	any	1	White	None			NA	NA	PNP		Yes	
402	2008	2	Black	4 dots	Black	No tag	VHF	None	Socal		Yes	
405	any	5	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
405	any	05	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
408	2008	8	Black	4 dots	Black	No tag	None	None	Socal		Yes	
408	2009	8	White	None	No tag	White	None	None	Socal		Yes	
408	2010	8	White	None	White	No tag	GPS	None	Socal		Yes	
411	any	11	Black	underline			NA	NA	PNP		Yes	
411	any	11	White	None			NA	NA	PNP		Yes	
412	2008	12	Black	4 dots	No tag	Black	None	GPS	Socal		Yes	
412	2009	12	White	None	No tag	White	None	None	Socal		Yes	
412	2010	12	White	None	White	No tag	None	None	Socal		Yes	
417	all	-7	Black	underline			NA	NA	PNP		No	died May 2007
418	any	-8	Black	underline			NA	NA	PNP		Yes	
418	any	18	White	None			NA	NA	PNP		Yes	
418	any	18	Black	4 dots			NA	NA	PNP		Yes	
418	any	18	Black	underline			NA	NA	PNP		Yes	
421	all	21	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
422	all	22	Black	underline			NA	NA	PNP		Yes	
428	2008	28	White	4 dots	No tag	White	None	GPS	Socal		Yes	
428	2009	28	White	None	White	White	GPS	None	Socal		Yes	
428	2010	28	White	None	White	No tag	GPS	None	Socal		Yes	
428	2011	28	White	None	White	No tag	GPS	None	Socal		Yes	
428	2012	28	White	None	White	No tag	GPS	None	Socal		Yes	
428	2013	28	White	None	White	No tag	GPS	None	Socal		Yes	
431	any	31	Black	underline			NA	NA	PNP		Yes	
431	any	31	White	None			NA	NA	PNP		Yes	
438	any	38	Black	underline			NA	NA	PNP		Yes	
438	any	38	White	None			NA	NA	PNP		Yes	
444	all	44	White	None	No tag	White	NA	NA	VWS		Yes	
448	all	48	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
449	2008	49	White	4 dots	White	No tag	None	None	Socal		Yes	
449	2009	49	White	None	White	No tag	None	None	Socal		Yes	
449	2010	49	White	None	White	No tag	None	None	Socal		Yes	
449	2011	49	White	None	No tag	White	None	GPS	Socal		Yes	
449	2012	49	White	None	No tag	White	None	GPS	Socal		Yes	
449	2013	49	White	None	No tag	White	None	GPS	Socal		Yes	
450	2008	50	White	4 dots	No tag	White	None	None	Socal		Yes	
451	any	51	White	None			NA	NA	PNP		Yes	
451	any	none	Black	None			NA	NA	PNP	black vinyl only with GPS unit	Yes	
451	any	V1	Black	underline			NA	NA	PNP		Yes	
452	2008	52	Black	4 dots	Black	No tag	VHF	None	Socal		Yes	
452	2009	52	White	None	White	No tag	None	None	Socal		Yes	
452	2010	52	White	None	No tag	White	None	None	Socal		Yes	
