					Tag Details							
Studbook	Year	Vinyl Tag ID	Tag Color	Shapes/Patterns on tag	L-tag color	R- tag color	L-wing transmitter	R-wing transmitter	Data source	Other Notes	Bio data compiled?	
542	2013	42	Black	None	Black	No tag	None	None	Socal		Yes	
543	all	43	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
547	all	47	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
550	all	50	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
559	all	59	Black	None	Black	Black	NA	NA	VWS		Yes	
560	2010	60	Black	None	No tag	Black	None	None	Socal		Yes	
560	2011	60	Black	None	No tag	Black	None	GPS	Socal		Yes	
560	2012	60	Black	None	No tag	Black	None	GPS	Socal		Yes	
560	2013	60	Black	None	No tag	Black	None	GPS	Socal		Yes	
563	2011	63	Black	None	Black	No tag	None	None	Socal		Yes	
563	2012	63	Black	None	Black	No tag	None	None	Socal		Yes	
563	2013	63	Black	None	Black	No tag	None	None	Socal		Yes	
564	all	64	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
566	all	66	Black	None	Black	No tag	NA	NA	VWS		Yes	
567	all	67	Black	None	Black	Black	NA	NA	VWS		Yes	
568	2011	68	Black	None	No tag	Black	None	None	Socal		Yes	
568	2012	68	Black	None	No tag	Black	None	None	Socal		Yes	
568	2013	68	Black	None	No tag	Black	None	None	Socal		Yes	
569	all	69	Black	None	No tag	Black	NA	NA	VWS		Yes	
570	2011	70	Black	None	No tag	Black	None	None	Socal		Yes	
570	2012	70	Black	None	No tag	Black	None	None	Socal		Yes	
570	2013	70	Black	None	No tag	Black	None	None	Socal		Yes	
574	all	74	Black	None	No tag	Black	NA	NA	VWS		Yes	
576	2011	76	Black	None	Black	No tag	None	None	Socal		Yes	
576	2012	76	Black	None	Black	No tag	None	None	Socal		Yes	
576	2013	76	Black	None	Black	No tag	None	None	Socal		Yes	
583	all	83	Black	None	Black	No tag	NA	NA	VWS		Yes	
584	2011	84	Black	None	Black	No tag	GPS	None	Socal		Yes	
584	2012	84	Black	None	Black	No tag	GPS	None	Socal		Yes	
584	2013	84	Black	None	Black	No tag	GPS	None	Socal		Yes	
585	2011	85	Black	None	No tag	Black	None	None	Socal		Yes	
585	2012	85	Black	None	No tag	Black	None	None	Socal		Yes	
585	2013	85	Black	None	No tag	Black	None	None	Socal		Yes	
588	all	88	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
589	all	89	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
590	2012	90	Black	None	No tag	Black	None	None	Socal		Yes	
590	2013	90	Black	None	No tag	Black	None	None	Socal		Yes	
591	2012	91	Black	None	No tag	Black	None	None	Socal		Yes	
591	2013	91	Black	None	No tag	Black	None	None	Socal		Yes	
594	2012	94	Black	None	No tag	Black	None	None	Socal		Yes	
594	2013	94	Black	None	No tag	Black	None	None	Socal		Yes	
596	2012	96	Blue	None	Blue	No tag	None	None	Socal		Yes	
596	2013	96	Blue	None	Blue	No tag	None	None	Socal		Yes	
597	all	97	Black	None	No tag	Black	NA	NA	VWS		Yes	add in -- recent release
598	all	98	Black	None	Black	NA	NA	NA	PNP	Black tag with white number		
599	2011	99	Black	None	Black	No tag	None	None	Socal		Yes	
599	2012	99	Black	None	Black	No tag	None	None	Socal		Yes	
599	2013	99	Black	None	Black	No tag	None	None	Socal		Yes	
602	all	2	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	
604	2012	4	Purple	None	No tag	Purple	None	None	Socal		Yes	
604	2013	4	Purple	None	No tag	Purple	None	None	Socal		Yes	
606	all	6	Black	1 dot			NA	NA	PNP		Yes	
615	all	15	Purple	None	Purple	Purple	NA	NA	VWS		Yes	
616	2011	16	Black	None	Black	No tag	None	None	Socal		Yes	
616	2012	16	Purple	None	Purple	No tag	None	None	Socal		Yes	
616	2013	16	Purple	None	Purple	No tag	None	None	Socal		Yes	
625	2012	25	Purple	None	Purple	No tag	None	None	Socal		Yes	
625	2013	25	Purple	None	Purple	No tag	None	None	Socal		Yes	
626	all	26	NA	NA			NA	NA	PNP	Per PNP, these birds have unique final digits and thus shapes, patterns and colors are not needed to distinguish them (this appears to be true for Central CA flock only)	Yes	add in -- recent release
627	2011	27	Black	None	Black	No tag	None	None	Socal		Yes	
627	2012	27	Purple	None	Purple	No tag	None	None	Socal		Yes	
627	2013	27	Purple	None	Purple	No tag	None	None	Socal		Yes	
630	2011	30	Black	None	Black	No tag	None	None	Socal		Yes	
630	2012	30	Purple	None	Purple	No tag	None	None	Socal		Yes	
630	2013	30	Purple	None	Purple	No tag	None	None	Socal		Yes	
644	all	44	Purple/Black	NA	NA	NA	NA	NA	VWS		Yes	
648	2012	48	Black	None	No tag	Black	None	None	Socal		Yes	
648	2013	48	Black	None	No tag	Black	None	None	Socal		Yes	
654	2012	54	Black	None	No tag	Black	None	None	Socal		Yes	
654	2013	54	Black	None	No tag	Black	None	None	Socal		Yes	
658	2012	58	Black	None	No tag	Black	None	None	Socal		Yes	
658	2013	58	Black	None	No tag	Black	None	None	Socal		Yes	
663	all	63	Purple	None	No tag	Purple	NA	NA	VWS		Yes	
664	all	664	Purple	None	Purple	No tag	NA	NA	VWS		Yes	
665	all	blank	Yellow	None	Yellow	No tag	NA	NA	VWS		Yes	
670	2012	70	Black	None	No tag	Black	None	None	Socal		Yes	
670	2013	70	Black	None	No tag	Black	None	None	Socal		Yes	
