id	inTagTable	father	mother	hatchedAt	hatchState	hatchLocation	sex	rearedBy	releasedAt	poisoned	firstBredAt	chicks	mateIn1999	mateIn2000	mateIn2001	mateIn2002	mateIn2003	mateIn2004	mateIn2005	mateIn2006	mateIn2007	mateIn2008	mateIn2009	mateIn2010	mateIn2011	mateIn2012	diedAt
358	358	50	88	3/30/2005	1	Birds of Prey	1	2	9/26/2006	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/6/2009
365	365	104	76	4/15/2005	1	Birds of Prey	1	2	9/26/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
364	364	53	34	4/14/2005	1	Birds of Prey	0	2	10/8/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	4/21/2011
369	369	92	94	4/21/2005	1	Birds of Prey	1	1	11/1/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
360	360	55	84	4/3/2005	1	Birds of Prey	1	2	11/21/2006	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
400	400	50	88	4/11/2006	1	Birds of Prey	0	0	4/24/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
401	401	71	56	4/13/2006	1	Birds of Prey	1	0	4/24/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
405	405	27	139	4/18/2006	1	Birds of Prey	1	1	8/21/2007	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
411	411	90	224	4/26/2006	1	Birds of Prey	1	0	8/22/2007	2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
402	402	99	57	4/14/2006	1	Birds of Prey	0	1	11/7/2007		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1/9/2008
458	458	99	88	6/3/2007	1	Birds of Prey	0	0	9/23/2008	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	3/23/2010
452	452	85	77	5/21/2007	1	Birds of Prey	1	1	10/28/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
448	448	47	51	5/8/2007	1	Birds of Prey	1	1	11/6/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
451	451	67	30	5/15/2007	1	Birds of Prey	1	1	11/6/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
438	438	104	76	4/21/2007	1	Birds of Prey	0	1	12/6/2008	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
478	478	47	51	4/23/2008	1	Birds of Prey	1	0	10/3/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	4/22/2012
463	463	60	166	4/2/2008	1	Birds of Prey	1	1	11/24/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
460	460	55	84	3/24/2008	1	Birds of Prey	0	1	11/29/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
513	513	71	56	4/17/2009	1	Birds of Prey	0	1	9/15/2010	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
543	543	92	94	5/29/2009	1	Birds of Prey	0	0	10/12/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
536	536	53	34	5/23/2009	1	Birds of Prey	0	1	10/14/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
